SYMBOL,PREOPEN,FINAL_PRICE,FINAL_QUANTITY,LAST_UPDATE,TOTAL_BUY_QTY,TOTAL_SELL_QTY,ADV_DECL
COALINDIA,408.2,408.2,144539,02-Sep-2026 09:07:56,338179,154173,BUY
OIL,495,495,20444,02-Sep-2026 09:07:57,42713,101530,SELL
ONGC,237.6,237.6,172776,02-Sep-2026 09:07:56,289766,486172,SELL
IDEA,14.12,14.12,1385555,02-Sep-2026 09:07:57,6325930,11302109,SELL
PETRONET,293.25,293.25,11812,02-Sep-2026 09:08:10,24018,102245,SELL
GAIL,172.6,172.6,66457,02-Sep-2026 09:07:57,67710,284115,SELL
ZYDUSLIFE,1168.4,1168.4,1815,02-Sep-2026 09:08:10,16080,14598,BUY
BLUESTARCO,1491,1491,1096,02-Sep-2026 09:07:57,3602,16339,SELL
DIXON,14461,14461,735,02-Sep-2026 09:08:01,2525,8053,SELL
INDUSTOWER,375,375,3721,02-Sep-2026 09:08:00,22320,152125,SELL
IRFC,82.5,82.5,53086,02-Sep-2026 09:07:57,214372,539392,SELL
MAXHEALTH,1003,1003,6488,02-Sep-2026 09:07:57,12804,34466,SELL
MPHASIS,2505.5,2505.5,2653,02-Sep-2026 09:07:56,4506,7957,SELL
NTPC,324,324,36736,02-Sep-2026 09:07:57,54225,290484,SELL
PREMIERENE,1012.9,1012.9,633,02-Sep-2026 09:07:57,8545,24511,SELL
VMM,106.55,106.55,41560,02-Sep-2026 09:07:57,158739,496384,SELL
FORCEMOT,17720,17720,363,02-Sep-2026 09:07:59,2189,3730,SELL
POLICYBZR,1829,1829,318,02-Sep-2026 09:07:58,2399,6736,SELL
LUPIN,2152.1,2152.1,2031,02-Sep-2026 09:07:57,4065,20301,SELL
KFINTECH,937,937,2350,02-Sep-2026 09:08:10,10948,39444,SELL
LICI,411.95,411.95,11016,02-Sep-2026 09:07:57,104028,242999,SELL
FEDERALBNK,349,349,4322,02-Sep-2026 09:07:56,35355,92202,SELL
BANKBARODA,237.5,237.5,9585,02-Sep-2026 09:07:56,116786,323370,SELL
DABUR,383.7,383.7,3259,02-Sep-2026 09:07:59,53871,50907,BUY
CROMPTON,230.9,230.9,3458,02-Sep-2026 09:07:58,44364,104137,SELL
ICICIPRULI,495,495,6071,02-Sep-2026 09:08:00,11392,27970,SELL
NATIONALUM,371.65,371.65,36832,02-Sep-2026 09:07:57,172065,132670,BUY
LTF,308.75,308.75,16342,02-Sep-2026 09:07:57,49319,212939,SELL
CAMS,751,751,1762,02-Sep-2026 09:07:58,34026,38965,SELL
PHOENIXLTD,1890.1,1890.1,447,02-Sep-2026 09:07:59,969,8253,SELL
SIEMENS,4024.9,4024.9,301,02-Sep-2026 09:08:10,1791,8088,SELL
ADANIENT,2859.8,2859.8,7343,02-Sep-2026 09:07:56,14156,37893,SELL
COCHINSHIP,1473.9,1473.9,2100,02-Sep-2026 09:07:58,9182,30566,SELL
POWERINDIA,32595,32595,292,02-Sep-2026 09:07:58,1401,2267,SELL
SHREECEM,23450,23450,11,02-Sep-2026 09:07:57,385,248,BUY
IEX,118.99,118.99,6111,02-Sep-2026 09:07:58,199670,257543,SELL
CANBK,125.35,125.35,61727,02-Sep-2026 09:07:57,423126,795479,SELL
ATHERENERG,1722,1722,17517,02-Sep-2026 09:07:56,30344,59854,SELL
MFSL,1531.5,1531.5,395,02-Sep-2026 09:08:00,531,7933,SELL
POLYCAB,8876.5,8876.5,1740,02-Sep-2026 09:07:59,4374,13915,SELL
POWERGRID,264,264,127222,02-Sep-2026 09:07:57,156070,309300,SELL
HAVELLS,1220,1220,1266,02-Sep-2026 09:08:01,4693,11550,SELL
ITC,266,266,97718,02-Sep-2026 09:07:57,268644,844322,SELL
MANKIND,2351,2351,261,02-Sep-2026 09:07:58,2221,7547,SELL
KEI,5335,5335,2180,02-Sep-2026 09:07:57,5401,9397,SELL
SUZLON,46.39,46.39,212556,02-Sep-2026 09:07:57,753352,2982365,SELL
BIOCON,400,400,3979,02-Sep-2026 09:07:59,16941,43162,SELL
PATANJALI,344.9,344.9,10251,02-Sep-2026 09:07:56,26350,113224,SELL
AXISBANK,1254.6,1254.6,30283,02-Sep-2026 09:07:57,21071,62705,SELL
PIDILITIND,1639,1639,1118,02-Sep-2026 09:08:10,3255,12748,SELL
BHARATFORG,2046.1,2046.1,1259,02-Sep-2026 09:07:58,4652,24422,SELL
GODFRYPHLP,2072,2072,642,02-Sep-2026 09:08:01,5041,6211,SELL
CUMMINSIND,5089,5089,393,02-Sep-2026 09:07:58,1329,5704,SELL
ASTRAL,1502,1502,759,02-Sep-2026 09:07:57,9850,7964,BUY
PAYTM,1628.1,1628.1,4614,02-Sep-2026 09:07:57,33166,33395,SELL
IDFCFIRSTB,84.61,84.61,15163,02-Sep-2026 09:07:59,96345,1047564,SELL
KPITTECH,588,588,7113,02-Sep-2026 09:07:56,15575,54825,SELL
LT,3966,3966,4713,02-Sep-2026 09:07:57,13885,34689,SELL
PNBHOUSING,1148,1148,1967,02-Sep-2026 09:07:57,821,11709,SELL
TRENT,2845,2845,1627,02-Sep-2026 09:07:56,5594,22174,SELL
UNOMINDA,1270,1270,942,02-Sep-2026 09:07:58,5807,14685,SELL
ALKEM,5280,5280,42,02-Sep-2026 09:07:57,421,720,SELL
OFSS,12141,12141,1971,02-Sep-2026 09:07:57,1422,5679,SELL
SBICARD,630,630,3085,02-Sep-2026 09:07:57,11957,49225,SELL
GRASIM,3292,3292,314,02-Sep-2026 09:08:02,51280,57031,SELL
JSWSTEEL,1308.1,1308.1,1647,02-Sep-2026 09:08:00,8639,37554,SELL
SAIL,192.21,192.21,114263,02-Sep-2026 09:07:57,68588,440170,SELL
TORNTPHARM,4945,4945,355,02-Sep-2026 09:07:59,439,3697,SELL
VOLTAS,1199.9,1199.9,1183,02-Sep-2026 09:07:56,6171,22064,SELL
HDFCLIFE,538,538,1638,02-Sep-2026 09:07:56,16435,33613,SELL
BHARTIARTL,1869,1869,104907,02-Sep-2026 09:07:57,42711,90894,SELL
TATAPOWER,349,349,16911,02-Sep-2026 09:07:57,62914,323915,SELL
ULTRACEMCO,11350,11350,337,02-Sep-2026 09:07:58,1269,3357,SELL
LAURUSLABS,1853.2,1853.2,2814,02-Sep-2026 09:08:10,6212,28963,SELL
SOLARINDS,19970,19970,77,02-Sep-2026 09:07:58,1309,12189,SELL
YESBANK,22,22,132990,02-Sep-2026 09:07:57,745752,3961307,SELL
ANGELONE,280.25,280.25,7440,02-Sep-2026 09:07:57,50153,107279,SELL
DIVISLAB,9121.5,9121.5,447,02-Sep-2026 09:08:02,1662,3797,SELL
HAL,4785,4785,1340,02-Sep-2026 09:08:00,5808,23441,SELL
NBCC,84.8,84.8,37811,02-Sep-2026 09:08:11,199202,444103,SELL
IREDA,113.65,113.65,21222,02-Sep-2026 09:07:58,110775,179118,SELL
AUROPHARMA,1675,1675,1171,02-Sep-2026 09:07:57,2756,8386,SELL
GODREJCP,900.55,900.55,634,02-Sep-2026 09:08:02,10169,40625,SELL
PAGEIND,35500,35500,22,02-Sep-2026 09:08:02,103,665,SELL
PNB,114.65,114.65,45127,02-Sep-2026 09:07:57,113786,566593,SELL
TATACONSUM,1025.5,1025.5,962,02-Sep-2026 09:08:10,7415,26186,SELL
TECHM,1630,1630,7387,02-Sep-2026 09:07:58,3080,29238,SELL
DELHIVERY,458.5,458.5,1865,02-Sep-2026 09:08:01,22665,55824,SELL
INOXWIND,69.15,69.15,29244,02-Sep-2026 09:08:00,169008,286835,SELL
JUBLFOOD,482,482,1082,02-Sep-2026 09:08:01,6446,24791,SELL
PRESTIGE,1562.2,1562.2,334,02-Sep-2026 09:07:59,4157,13027,SELL
AMBER,7470,7470,328,02-Sep-2026 09:07:59,1354,6140,SELL
DRREDDY,1165,1165,3404,02-Sep-2026 09:07:59,8566,33073,SELL
SBILIFE,1730,1730,1112,02-Sep-2026 09:07:58,4209,5540,SELL
ADANIENSOL,1374.6,1374.6,8311,02-Sep-2026 09:07:57,12066,86710,SELL
HYUNDAI,2168,2168,754,02-Sep-2026 09:07:59,2672,12100,SELL
TIINDIA,2748.3,2748.3,251,02-Sep-2026 09:07:56,1468,3504,SELL
AMBUJACEM,400,400,8979,02-Sep-2026 09:07:57,34766,80515,SELL
AUBANK,1073.1,1073.1,1611,02-Sep-2026 09:07:58,3801,15300,SELL
KAYNES,3580,3580,2462,02-Sep-2026 09:07:57,8325,38699,SELL
RADICO,4448.6,4448.6,236,02-Sep-2026 09:07:57,948,6277,SELL
JSWENERGY,515,515,2830,02-Sep-2026 09:08:01,10903,32298,SELL
COLPAL,1848.8,1848.8,1219,02-Sep-2026 09:07:58,5200,12184,SELL
HINDUNILVR,1983,1983,2305,02-Sep-2026 09:07:59,13921,36004,SELL
BANKINDIA,141.5,141.5,14650,02-Sep-2026 09:07:59,200281,419160,SELL
BSE,3222.6,3222.6,8575,02-Sep-2026 09:07:57,42288,106843,SELL
MAHABANK,82.2,82.2,24550,02-Sep-2026 09:08:10,212213,630210,SELL
GLENMARK,2455,2455,4386,02-Sep-2026 09:07:59,795,4127,SELL
INDHOTEL,713.55,713.55,3814,02-Sep-2026 09:08:01,15887,37811,SELL
OBEROIRLTY,1869,1869,480,02-Sep-2026 09:07:57,1027,9097,SELL
ADANIPORTS,1637.1,1637.1,8647,02-Sep-2026 09:07:57,19942,47962,SELL
BDL,1242.1,1242.1,3255,02-Sep-2026 09:07:58,22303,33976,SELL
CIPLA,1414,1414,968,02-Sep-2026 09:07:58,8906,26356,SELL
ABB,7348.5,7348.5,359,02-Sep-2026 09:07:59,2236,12916,SELL
