SYMBOL,PREOPEN,FINAL_PRICE,FINAL_QUANTITY,LAST_UPDATE,TOTAL_BUY_QTY,TOTAL_SELL_QTY,ADV_DECL
KALYANKJIL,360,360,103639,08-Jul-2026 09:07:34,278240,165898,BUY
NAUKRI,1172,1172,34474,08-Jul-2026 09:07:34,63932,27716,BUY
ONGC,246.82,246.82,96217,08-Jul-2026 09:07:34,298715,297547,BUY
OIL,427.1,427.1,28571,08-Jul-2026 09:07:34,76336,86054,SELL
MPHASIS,2323,2323,5928,08-Jul-2026 09:07:33,5389,25735,SELL
AXISBANK,1344,1344,100887,08-Jul-2026 09:07:34,22688,91580,SELL
ALKEM,5679.5,5679.5,419,08-Jul-2026 09:07:37,856,3851,SELL
MARICO,849.3,849.3,5775,08-Jul-2026 09:07:47,16070,50650,SELL
DIVISLAB,6784,6784,1092,08-Jul-2026 09:07:46,10466,5445,BUY
DRREDDY,1357,1357,3227,08-Jul-2026 09:07:47,7329,16601,SELL
BOSCHLTD,42000,42000,201,08-Jul-2026 09:07:33,162,792,SELL
MAXHEALTH,1119.7,1119.7,6621,08-Jul-2026 09:07:34,10077,20899,SELL
RADICO,4103.7,4103.7,1526,08-Jul-2026 09:07:35,10389,11170,SELL
CIPLA,1453.3,1453.3,1990,08-Jul-2026 09:07:47,5156,22422,SELL
PREMIERENE,1025.5,1025.5,3667,08-Jul-2026 09:07:46,14746,22611,SELL
GLENMARK,2267,2267,1249,08-Jul-2026 09:07:34,3200,13191,SELL
LUPIN,2492.5,2492.5,1684,08-Jul-2026 09:07:35,2946,8934,SELL
ICICIGI,1795.3,1795.3,742,08-Jul-2026 09:07:47,16837,2050,BUY
COFORGE,1517,1517,16580,08-Jul-2026 09:07:33,24898,53483,SELL
OFSS,11101,11101,498,08-Jul-2026 09:07:33,680,4079,SELL
TIINDIA,2980,2980,116,08-Jul-2026 09:07:36,1302,3331,SELL
SUNPHARMA,1904,1904,6261,08-Jul-2026 09:07:34,6506,24075,SELL
INFY,1071.9,1071.9,46307,08-Jul-2026 09:07:34,123629,195317,SELL
APLAPOLLO,1819.8,1819.8,656,08-Jul-2026 09:07:47,6589,17395,SELL
HAVELLS,1225,1225,4319,08-Jul-2026 09:07:47,16150,40150,SELL
KFINTECH,866.6,866.6,1259,08-Jul-2026 09:07:46,6466,30377,SELL
PERSISTENT,4884.8,4884.8,4389,08-Jul-2026 09:07:34,5143,13034,SELL
WIPRO,173,173,59260,08-Jul-2026 09:07:34,327214,721237,SELL
ADANIGREEN,1518.9,1518.9,10250,08-Jul-2026 09:07:47,17393,59038,SELL
COLPAL,2077,2077,232,08-Jul-2026 09:07:46,2994,9046,SELL
TATAELXSI,3707,3707,382,08-Jul-2026 09:07:34,4170,15941,SELL
PATANJALI,414.4,414.4,11729,08-Jul-2026 09:07:46,14000,33931,SELL
SBILIFE,1831.9,1831.9,6316,08-Jul-2026 09:07:34,4126,20591,SELL
KPITTECH,562.25,562.25,4570,08-Jul-2026 09:07:33,35118,99174,SELL
ASTRAL,1359,1359,658,08-Jul-2026 09:07:47,6615,18883,SELL
BLUESTARCO,1604.8,1604.8,343,08-Jul-2026 09:07:35,3260,7800,SELL
MANKIND,2526.5,2526.5,363,08-Jul-2026 09:07:34,1755,8591,SELL
PAGEIND,41765,41765,38,08-Jul-2026 09:07:47,141,237,SELL
ADANIENT,3105,3105,3756,08-Jul-2026 09:07:46,12513,23507,SELL
IDEA,13.84,13.84,1537241,08-Jul-2026 09:07:34,6576242,20760761,SELL
ADANIPOWER,217.9,217.9,67320,08-Jul-2026 09:07:34,165573,865841,SELL
BANDHANBNK,204.94,204.94,37671,08-Jul-2026 09:07:33,50327,366406,SELL
PIIND,2649.9,2649.9,61,08-Jul-2026 09:07:47,2050,2606,SELL
LICHSGFIN,543,543,641,08-Jul-2026 09:07:33,34626,41905,SELL
TCS,2094,2094,44716,08-Jul-2026 09:07:34,30739,138719,SELL
UNITDSPR,1427,1427,1751,08-Jul-2026 09:07:36,22269,40210,SELL
JSWENERGY,543.6,543.6,1483,08-Jul-2026 09:07:46,9954,50598,SELL
LICI,434.8,434.8,5196,08-Jul-2026 09:07:46,94267,213379,SELL
TORNTPHARM,4850,4850,561,08-Jul-2026 09:07:36,715,1068,SELL
SUZLON,54.3,54.3,192502,08-Jul-2026 09:07:34,741793,2739743,SELL
BHARATFORG,2108.1,2108.1,1710,08-Jul-2026 09:07:34,2552,11320,SELL
DELHIVERY,517,517,5657,08-Jul-2026 09:07:34,95260,64841,BUY
HDFCLIFE,571.45,571.45,9969,08-Jul-2026 09:07:33,36249,84289,SELL
LAURUSLABS,1474.9,1474.9,1523,08-Jul-2026 09:07:34,15478,34146,SELL
SUPREMEIND,3176.1,3176.1,257,08-Jul-2026 09:07:35,2128,4317,SELL
CAMS,775,775,926,08-Jul-2026 09:07:33,13705,31892,SELL
FORTIS,969.9,969.9,3011,08-Jul-2026 09:07:46,3843,18318,SELL
COALINDIA,428,428,10289,08-Jul-2026 09:07:46,78162,132412,SELL
LTM,3850,3850,816,08-Jul-2026 09:07:46,2953,13714,SELL
TRENT,2921,2921,12359,08-Jul-2026 09:07:33,32010,67702,SELL
ANGELONE,335,335,9470,08-Jul-2026 09:07:47,45323,111872,SELL
PIDILITIND,1618.2,1618.2,2202,08-Jul-2026 09:07:36,4720,17085,SELL
CGPOWER,908,908,5294,08-Jul-2026 09:07:46,23170,113383,SELL
HCLTECH,1165,1165,16378,08-Jul-2026 09:07:34,21893,245831,SELL
SHREECEM,26635,26635,18,08-Jul-2026 09:07:37,53,330,SELL
TITAN,4590.4,4590.4,7031,08-Jul-2026 09:07:34,6476,15097,SELL
ETERNAL,288.5,288.5,220521,08-Jul-2026 09:07:34,118891,869448,SELL
ICICIBANK,1410.3,1410.3,117179,08-Jul-2026 09:07:34,36257,117763,SELL
PAYTM,1242,1242,12640,08-Jul-2026 09:07:34,10701,35805,SELL
BIOCON,405.55,405.55,9189,08-Jul-2026 09:07:34,51724,68139,SELL
DABUR,452,452,2474,08-Jul-2026 09:07:34,35365,41608,SELL
DALBHARAT,1782.9,1782.9,245,08-Jul-2026 09:07:34,1446,10672,SELL
FEDERALBNK,330.45,330.45,13458,08-Jul-2026 09:07:47,22142,71783,SELL
OBEROIRLTY,1900.1,1900.1,578,08-Jul-2026 09:07:47,2077,8120,SELL
VBL,482.55,482.55,9846,08-Jul-2026 09:07:35,39300,160683,SELL
SOLARINDS,18201,18201,209,08-Jul-2026 09:07:47,1442,6910,SELL
TATAPOWER,375.8,375.8,12759,08-Jul-2026 09:07:34,113382,165717,SELL
IEX,122,122,6873,08-Jul-2026 09:07:47,94772,255914,SELL
POWERINDIA,31795,31795,393,08-Jul-2026 09:07:46,1709,3584,SELL
BAJAJ-AUTO,10070,10070,1386,08-Jul-2026 09:07:47,3739,4856,SELL
TMPV,340.95,340.95,32601,08-Jul-2026 09:07:34,124417,304877,SELL
WAAREEENER,2830,2830,1871,08-Jul-2026 09:07:34,9501,24631,SELL
HAL,4382.6,4382.6,1901,08-Jul-2026 09:07:46,7193,25045,SELL
BDL,1390,1390,3066,08-Jul-2026 09:07:47,9703,102477,SELL
HDFCBANK,825.9,825.9,1285667,08-Jul-2026 09:07:33,169636,1090994,SELL
HEROMOTOCO,4975,4975,2174,08-Jul-2026 09:07:46,3672,11420,SELL
IDFCFIRSTB,80.1,80.1,32229,08-Jul-2026 09:07:46,92552,569084,SELL
KEI,5085,5085,601,08-Jul-2026 09:07:35,2158,3978,SELL
APOLLOHOSP,8800,8800,406,08-Jul-2026 09:07:36,1782,1480,BUY
MARUTI,14475,14475,1058,08-Jul-2026 09:07:34,2107,5542,SELL
HINDUNILVR,2199,2199,2302,08-Jul-2026 09:07:35,8629,25350,SELL
JIOFIN,242,242,47642,08-Jul-2026 09:07:34,297404,789355,SELL
GODFRYPHLP,2124.9,2124.9,409,08-Jul-2026 09:07:34,4511,12268,SELL
SIEMENS,3479.1,3479.1,239,08-Jul-2026 09:07:34,3219,7279,SELL
TECHM,1441,1441,2305,08-Jul-2026 09:07:35,9082,25256,SELL
MOTHERSON,142.71,142.71,43402,08-Jul-2026 09:07:46,160908,411550,SELL
INDUSTOWER,381,381,3335,08-Jul-2026 09:07:46,22291,129177,SELL
AUROPHARMA,1575.5,1575.5,440,08-Jul-2026 09:07:34,2552,11491,SELL
BANKINDIA,141.73,141.73,18956,08-Jul-2026 09:07:47,96399,310953,SELL
IRFC,89.49,89.49,63347,08-Jul-2026 09:07:34,243952,775173,SELL
SONACOMS,668,668,3662,08-Jul-2026 09:07:36,11451,38778,SELL
SWIGGY,265,265,64826,08-Jul-2026 09:07:34,265521,333886,SELL
ADANIPORTS,1824.9,1824.9,3727,08-Jul-2026 09:07:47,11423,34896,SELL
NHPC,78.5,78.5,18906,08-Jul-2026 09:07:47,194244,520362,SELL
ICICIPRULI,485.4,485.4,1318,08-Jul-2026 09:07:47,9888,33402,SELL
DMART,4050,4050,341,08-Jul-2026 09:07:46,2979,22239,SELL
POWERGRID,282.9,282.9,31148,08-Jul-2026 09:07:47,78626,144276,SELL
EXIDEIND,412.35,412.35,3799,08-Jul-2026 09:07:46,21803,97779,SELL
