SYMBOL,PREOPEN,FINAL_PRICE,FINAL_QUANTITY,LAST_UPDATE,TOTAL_BUY_QTY,TOTAL_SELL_QTY,ADV_DECL
ASTRAL,1499,1499,21082,13-Aug-2026 09:07:34,35998,19653,BUY
JIOFIN,261.95,261.95,1057024,13-Aug-2026 09:07:35,1864734,2881015,SELL
GMRAIRPORT,106.86,106.86,221051,13-Aug-2026 09:07:35,254272,239944,BUY
APOLLOHOSP,8740.5,8740.5,8251,13-Aug-2026 09:07:34,10720,18558,SELL
SHRIRAMFIN,1135,1135,26809,13-Aug-2026 09:07:34,32185,95600,SELL
IDEA,13.67,13.67,3586702,13-Aug-2026 09:07:35,11705010,16329952,SELL
BHARTIARTL,1965,1965,169694,13-Aug-2026 09:07:34,84108,171972,SELL
KALYANKJIL,601.5,601.5,20243,13-Aug-2026 09:07:34,76874,166929,SELL
PREMIERENE,1033.8,1033.8,1085,13-Aug-2026 09:07:35,18827,18544,BUY
GODREJCP,911.4,911.4,18488,13-Aug-2026 09:07:34,122064,149579,SELL
HINDPETRO,392.75,392.75,37733,13-Aug-2026 09:07:35,423755,615654,SELL
MANAPPURAM,355,355,32852,13-Aug-2026 09:07:35,321316,234933,BUY
UNOMINDA,1240,1240,1972,13-Aug-2026 09:07:38,8220,8873,SELL
SOLARINDS,18843,18843,552,13-Aug-2026 09:07:37,2236,5535,SELL
TECHM,1634.7,1634.7,6515,13-Aug-2026 09:07:35,3950,35672,SELL
ABB,7750,7750,618,13-Aug-2026 09:07:47,2147,8078,SELL
AMBUJACEM,423.2,423.2,1536,13-Aug-2026 09:07:47,37703,79052,SELL
CONCOR,514.65,514.65,632,13-Aug-2026 09:07:48,10118,68585,SELL
MOTHERSON,170.37,170.37,46763,13-Aug-2026 09:07:35,105276,351082,SELL
ADANIENSOL,1607,1607,2366,13-Aug-2026 09:07:47,10116,44709,SELL
DMART,4060,4060,697,13-Aug-2026 09:07:47,5893,10376,SELL
HAL,5019.5,5019.5,14792,13-Aug-2026 09:07:34,28506,70849,SELL
MUTHOOTFIN,2890,2890,1209,13-Aug-2026 09:07:35,7430,14172,SELL
CGPOWER,892,892,8561,13-Aug-2026 09:07:34,20640,118352,SELL
AMBER,7015,7015,290,13-Aug-2026 09:07:35,4746,10295,SELL
KPITTECH,611.8,611.8,2845,13-Aug-2026 09:07:48,24774,33026,SELL
FORCEMOT,19350,19350,420,13-Aug-2026 09:07:35,2379,4426,SELL
HEROMOTOCO,5919,5919,1110,13-Aug-2026 09:07:35,1971,13041,SELL
NESTLEIND,1513.2,1513.2,4141,13-Aug-2026 09:07:48,4483,21213,SELL
ASHOKLEY,177.4,177.4,31777,13-Aug-2026 09:07:35,101625,481318,SELL
BLUESTARCO,1496,1496,428,13-Aug-2026 09:07:47,5070,13400,SELL
PFC,377.9,377.9,17066,13-Aug-2026 09:07:35,155515,297906,SELL
MCX,2980.5,2980.5,13383,13-Aug-2026 09:07:35,35682,106518,SELL
SUPREMEIND,3470.7,3470.7,59,13-Aug-2026 09:07:39,2521,5441,SELL
ETERNAL,315,315,137824,13-Aug-2026 09:07:35,110629,617595,SELL
POWERGRID,269,269,41695,13-Aug-2026 09:07:35,157667,320636,SELL
VOLTAS,1293.9,1293.9,1239,13-Aug-2026 09:07:37,11639,35804,SELL
DIXON,13840,13840,724,13-Aug-2026 09:07:35,4691,9028,SELL
POLYCAB,9316,9316,1080,13-Aug-2026 09:07:35,2578,10063,SELL
POWERINDIA,35900,35900,221,13-Aug-2026 09:07:35,1629,4316,SELL
TIINDIA,2847,2847,589,13-Aug-2026 09:07:37,1695,7989,SELL
ADANIPOWER,207.51,207.51,55574,13-Aug-2026 09:07:34,237780,928749,SELL
IOC,140.9,140.9,24329,13-Aug-2026 09:07:48,252677,640861,SELL
OIL,473,473,8479,13-Aug-2026 09:07:48,15991,79814,SELL
TATAELXSI,3719.8,3719.8,162,13-Aug-2026 09:07:36,3737,4367,SELL
TVSMOTOR,4384,4384,1320,13-Aug-2026 09:07:36,1773,7622,SELL
LICHSGFIN,509,509,3099,13-Aug-2026 09:07:34,33908,58653,SELL
JSWENERGY,559.8,559.8,3376,13-Aug-2026 09:07:48,16763,71860,SELL
PRESTIGE,1591.4,1591.4,1102,13-Aug-2026 09:07:35,3064,18855,SELL
TMPV,343.5,343.5,37242,13-Aug-2026 09:07:35,133397,388477,SELL
VEDL,276.2,276.2,24396,13-Aug-2026 09:07:35,956854,846693,BUY
BEL,405.7,405.7,38275,13-Aug-2026 09:07:35,171091,740313,SELL
MFSL,1518,1518,230,13-Aug-2026 09:07:36,1274,7911,SELL
KAYNES,3832,3832,1868,13-Aug-2026 09:07:35,14083,28575,SELL
NBCC,92.26,92.26,29132,13-Aug-2026 09:07:34,245400,406975,SELL
HYUNDAI,2242,2242,2365,13-Aug-2026 09:07:47,5845,13358,SELL
SBIN,1083,1083,34043,13-Aug-2026 09:07:34,77096,226905,SELL
CAMS,778,778,2454,13-Aug-2026 09:07:48,11962,45566,SELL
BAJFINANCE,1095,1095,14263,13-Aug-2026 09:07:34,37091,95074,SELL
BAJAJ-AUTO,11707,11707,321,13-Aug-2026 09:07:47,1065,8357,SELL
MARUTI,13884,13884,454,13-Aug-2026 09:07:48,3797,6053,SELL
SWIGGY,279.5,279.5,12943,13-Aug-2026 09:07:35,89269,917323,SELL
BOSCHLTD,46500,46500,195,13-Aug-2026 09:07:48,857,661,BUY
GLENMARK,2290.9,2290.9,258,13-Aug-2026 09:07:47,2592,18310,SELL
M&M,3405,3405,6238,13-Aug-2026 09:07:34,10727,18378,SELL
MAXHEALTH,1007.9,1007.9,7482,13-Aug-2026 09:07:34,21455,21091,BUY
PIIND,2483.9,2483.9,2578,13-Aug-2026 09:07:35,15809,26463,SELL
GVT&D,4408,4408,1678,13-Aug-2026 09:07:35,7091,18992,SELL
ADANIENT,2986.2,2986.2,1710,13-Aug-2026 09:07:35,12267,30550,SELL
CROMPTON,247.9,247.9,4194,13-Aug-2026 09:07:47,32927,253386,SELL
INDIGO,5334,5334,630,13-Aug-2026 09:07:47,2651,12030,SELL
ITC,276.2,276.2,29697,13-Aug-2026 09:07:34,346915,650375,SELL
SIEMENS,4020,4020,511,13-Aug-2026 09:07:35,1931,11936,SELL
EICHERMOT,8050,8050,731,13-Aug-2026 09:07:48,1545,16601,SELL
KFINTECH,922.1,922.1,458,13-Aug-2026 09:07:47,8272,26231,SELL
MOTILALOFS,901.05,901.05,935,13-Aug-2026 09:07:34,9727,46069,SELL
PAYTM,1610.2,1610.2,7038,13-Aug-2026 09:07:34,15403,48533,SELL
ADANIGREEN,1332.3,1332.3,5098,13-Aug-2026 09:07:48,12599,52876,SELL
ADANIPORTS,1665,1665,2738,13-Aug-2026 09:07:47,17612,42765,SELL
BANDHANBNK,176,176,7815,13-Aug-2026 09:07:47,81629,334946,SELL
BANKBARODA,250.99,250.99,25161,13-Aug-2026 09:07:35,97426,404079,SELL
BHEL,420,420,35117,13-Aug-2026 09:07:35,120946,252013,SELL
CANBK,132,132,54080,13-Aug-2026 09:07:34,748516,1283925,SELL
CDSL,1339,1339,1776,13-Aug-2026 09:07:47,18569,72139,SELL
COALINDIA,409.3,409.3,11646,13-Aug-2026 09:07:47,99474,155830,SELL
HAVELLS,1265,1265,670,13-Aug-2026 09:07:48,3354,17804,SELL
HDFCAMC,2490,2490,696,13-Aug-2026 09:07:47,7128,23950,SELL
HDFCLIFE,537,537,1556,13-Aug-2026 09:07:47,27636,107248,SELL
HINDUNILVR,2063,2063,1945,13-Aug-2026 09:07:47,19000,38575,SELL
HINDZINC,584.6,584.6,13604,13-Aug-2026 09:07:47,47956,176459,SELL
ICICIGI,1635,1635,332,13-Aug-2026 09:07:47,3061,6080,SELL
INDHOTEL,724,724,1477,13-Aug-2026 09:07:48,23953,56207,SELL
INDIANB,897,897,5133,13-Aug-2026 09:07:47,12229,127234,SELL
INDUSTOWER,383.4,383.4,17114,13-Aug-2026 09:07:47,64603,459068,SELL
INOXWIND,74,74,20854,13-Aug-2026 09:07:47,207529,362724,SELL
IREDA,117.8,117.8,22945,13-Aug-2026 09:07:47,124286,240182,SELL
IRFC,88.26,88.26,26366,13-Aug-2026 09:07:47,144246,591794,SELL
JSWSTEEL,1269.1,1269.1,1327,13-Aug-2026 09:07:47,11109,25174,SELL
LAURUSLABS,1850,1850,4290,13-Aug-2026 09:07:48,6233,31147,SELL
LODHA,1209,1209,3111,13-Aug-2026 09:07:35,5392,19337,SELL
LTF,317.2,317.2,9690,13-Aug-2026 09:07:48,33290,184693,SELL
MARICO,855,855,2312,13-Aug-2026 09:07:35,3808,16593,SELL
NAUKRI,1339,1339,1247,13-Aug-2026 09:07:47,4951,11373,SELL
NHPC,76.85,76.85,18583,13-Aug-2026 09:07:34,337755,640737,SELL
