SYMBOL,PREOPEN,FINAL_PRICE,FINAL_QUANTITY,LAST_UPDATE,TOTAL_BUY_QTY,TOTAL_SELL_QTY,ADV_DECL
HYUNDAI,1995,1995,4908,15-Jul-2026 09:07:39,14331,12821,BUY
DIXON,13580,13580,4349,15-Jul-2026 09:07:39,11739,8655,BUY
MANAPPURAM,333,333,7479,15-Jul-2026 09:07:42,59940,27565,BUY
SHRIRAMFIN,1028,1028,29576,15-Jul-2026 09:07:39,47117,77435,SELL
GVT&D,4560.1,4560.1,1572,15-Jul-2026 09:07:39,7035,5244,BUY
SONACOMS,675.05,675.05,7355,15-Jul-2026 09:07:52,9969,31299,SELL
MCX,2921,2899,12176,15-Jul-2026 09:07:38,49828,72809,SELL
DELHIVERY,517.3,517.3,9473,15-Jul-2026 09:07:39,24732,73983,SELL
ZYDUSLIFE,1145.1,1145.1,2923,15-Jul-2026 09:07:38,5922,19846,SELL
DIVISLAB,7260,7260,5761,15-Jul-2026 09:07:39,27667,9542,BUY
ABCAPITAL,403,403,4919,15-Jul-2026 09:07:38,27826,84627,SELL
PIDILITIND,1570,1570,2565,15-Jul-2026 09:07:41,6708,12909,SELL
FORTIS,978.8,978.8,3079,15-Jul-2026 09:07:40,8657,25209,SELL
BHARTIARTL,1953.7,1934,142593,15-Jul-2026 09:07:38,198879,211481,SELL
PFC,412.75,412.75,35398,15-Jul-2026 09:07:38,42576,121658,SELL
MFSL,1625,1625,129,15-Jul-2026 09:07:43,2701,7282,SELL
HDFCAMC,2681.7,2681.7,985,15-Jul-2026 09:07:39,9687,18777,SELL
LTF,317.9,317.9,9163,15-Jul-2026 09:07:41,108520,121471,SELL
TIINDIA,2940,2940,93,15-Jul-2026 09:07:40,1535,4247,SELL
KALYANKJIL,534,531,232388,15-Jul-2026 09:07:38,583030,554369,BUY
AXISBANK,1328,1328,89288,15-Jul-2026 09:07:39,16717,65376,SELL
ALKEM,5645,5645,29,15-Jul-2026 09:07:38,675,6367,SELL
HINDZINC,532,532,19679,15-Jul-2026 09:07:38,47876,180466,SELL
NBCC,98.92,98.92,54572,15-Jul-2026 09:07:39,227977,275526,SELL
HEROMOTOCO,4914.9,4914.9,1500,15-Jul-2026 09:07:39,8904,8967,SELL
MUTHOOTFIN,3039,3039,1386,15-Jul-2026 09:07:42,9896,8253,BUY
PIIND,2556,2556,269,15-Jul-2026 09:07:42,6464,4852,BUY
SBICARD,643.5,643.5,9200,15-Jul-2026 09:07:39,48053,96614,SELL
ABB,6940,6940,450,15-Jul-2026 09:07:52,2410,9489,SELL
JUBLFOOD,424.45,424.45,3648,15-Jul-2026 09:07:39,28350,47885,SELL
UNOMINDA,1145,1145,286,15-Jul-2026 09:07:40,7141,19070,SELL
ICICIGI,1800,1800,815,15-Jul-2026 09:07:41,3265,3430,SELL
FORCEMOT,17775,17775,191,15-Jul-2026 09:07:39,1603,2633,SELL
UPL,597,597,4200,15-Jul-2026 09:07:40,31854,25196,BUY
SUNPHARMA,1955,1955,5945,15-Jul-2026 09:07:38,11953,23711,SELL
POWERINDIA,32695,32695,157,15-Jul-2026 09:07:42,1467,2466,SELL
RADICO,4076.7,4076.7,248,15-Jul-2026 09:07:39,3403,6324,SELL
CIPLA,1447,1447,1141,15-Jul-2026 09:07:52,10440,21328,SELL
IOC,137.9,137.9,63704,15-Jul-2026 09:07:39,424654,514014,SELL
ADANIPOWER,227.55,227.55,228645,15-Jul-2026 09:07:39,420969,923192,SELL
CANBK,126.5,126.5,54455,15-Jul-2026 09:07:39,384744,2099471,SELL
MOTHERSON,142.91,142.91,13966,15-Jul-2026 09:07:52,112573,331906,SELL
BANKINDIA,142.7,142.7,5889,15-Jul-2026 09:07:38,164218,208614,SELL
HDFCLIFE,558.5,558.5,2445,15-Jul-2026 09:07:52,54273,77264,SELL
SIEMENS,3531,3531,349,15-Jul-2026 09:07:40,3466,6607,SELL
AMBER,7831.5,7831.5,545,15-Jul-2026 09:07:39,3755,12130,SELL
DALBHARAT,1772,1772,617,15-Jul-2026 09:07:41,9557,7289,BUY
ADANIENSOL,1700,1700,4465,15-Jul-2026 09:07:38,11019,35083,SELL
BANKBARODA,248,248,15464,15-Jul-2026 09:07:39,122944,284505,SELL
KAYNES,3307,3307,1821,15-Jul-2026 09:07:42,25912,25382,BUY
ICICIPRULI,506.7,506.7,1440,15-Jul-2026 09:07:39,18965,21391,SELL
APOLLOHOSP,8948.5,8948.5,2937,15-Jul-2026 09:07:38,1515,4853,SELL
JINDALSTEL,1045.7,1045.7,1129,15-Jul-2026 09:07:52,5344,8897,SELL
BRITANNIA,5311.5,5311.5,257,15-Jul-2026 09:07:39,3352,5168,SELL
ASHOKLEY,155.99,155.99,20760,15-Jul-2026 09:07:38,334271,453919,SELL
JIOFIN,237.2,236.06,55838,15-Jul-2026 09:07:38,613473,705783,SELL
POLICYBZR,1575,1575,456,15-Jul-2026 09:07:42,10808,11574,SELL
UNITDSPR,1393.5,1393.5,1071,15-Jul-2026 09:07:39,1748,20170,SELL
ANGELONE,335.25,335.25,9938,15-Jul-2026 09:07:39,53345,139272,SELL
IDEA,13.9,13.9,1144393,15-Jul-2026 09:07:39,6346424,21894702,SELL
CGPOWER,918.4,918.4,4385,15-Jul-2026 09:07:38,49642,100443,SELL
LT,3868,3868,5517,15-Jul-2026 09:07:39,27597,40801,SELL
360ONE,1104.2,1104.2,542,15-Jul-2026 09:07:39,9026,22421,SELL
NATIONALUM,366.7,366.7,39778,15-Jul-2026 09:07:39,71281,198599,SELL
TMPV,335,335,27937,15-Jul-2026 09:07:39,193288,310179,SELL
COCHINSHIP,1397.5,1397.5,3249,15-Jul-2026 09:07:38,23066,66324,SELL
LICI,437.5,437.5,7180,15-Jul-2026 09:07:39,143873,115397,BUY
PNB,105.5,105.5,14271,15-Jul-2026 09:07:38,384068,812978,SELL
GLENMARK,2316,2316,424,15-Jul-2026 09:07:40,1378,17778,SELL
ASTRAL,1364.6,1364.6,492,15-Jul-2026 09:07:52,9328,39027,SELL
CHOLAFIN,1779.5,1779.5,586,15-Jul-2026 09:07:39,4447,7177,SELL
AUBANK,1042.9,1042.9,337,15-Jul-2026 09:07:41,4764,19113,SELL
LICHSGFIN,552,552,508,15-Jul-2026 09:07:42,13560,34067,SELL
LUPIN,2480,2480,1361,15-Jul-2026 09:07:42,3852,14326,SELL
RECLTD,354,354,9080,15-Jul-2026 09:07:40,108741,229130,SELL
BANDHANBNK,208.75,208.75,4934,15-Jul-2026 09:07:39,55091,306639,SELL
INOXWIND,79.37,79.37,22732,15-Jul-2026 09:07:38,184781,355712,SELL
ITC,276.65,276.65,41799,15-Jul-2026 09:07:39,399620,634840,SELL
BLUESTARCO,1753,1753,1852,15-Jul-2026 09:07:40,4848,15255,SELL
CUMMINSIND,5515,5515,331,15-Jul-2026 09:07:40,3364,3942,SELL
PGEL,603.4,603.4,3454,15-Jul-2026 09:07:52,18828,100541,SELL
ICICIBANK,1412.9,1412.9,75684,15-Jul-2026 09:07:39,51428,155627,SELL
IEX,117.5,117.5,17952,15-Jul-2026 09:07:38,405512,300967,BUY
MOTILALOFS,970.6,970.6,514,15-Jul-2026 09:07:42,5102,30287,SELL
PREMIERENE,1105,1105,1162,15-Jul-2026 09:07:41,9549,26473,SELL
SAIL,167.01,167.01,13754,15-Jul-2026 09:07:40,110076,237632,SELL
YESBANK,23.69,23.69,156061,15-Jul-2026 09:07:39,1204475,3331186,SELL
BAJAJ-AUTO,10200,10200,1131,15-Jul-2026 09:07:39,7119,9908,SELL
INDIGO,5125,5125,1269,15-Jul-2026 09:07:38,7227,8579,SELL
LAURUSLABS,1565.8,1565.8,4371,15-Jul-2026 09:07:42,12708,16425,SELL
NESTLEIND,1431.8,1431.8,440,15-Jul-2026 09:07:41,3415,16661,SELL
BHEL,405.2,405.2,16454,15-Jul-2026 09:07:39,89749,179134,SELL
PRESTIGE,1699.1,1699.1,286,15-Jul-2026 09:07:41,3101,30189,SELL
UNIONBANK,171.21,171.21,37071,15-Jul-2026 09:07:39,150089,1040813,SELL
BAJAJFINSV,1875,1875,658,15-Jul-2026 09:07:38,4221,13209,SELL
FEDERALBNK,328.5,328.5,2886,15-Jul-2026 09:07:39,32938,96519,SELL
APLAPOLLO,1804,1804,1278,15-Jul-2026 09:07:52,8649,18736,SELL
COLPAL,2014,2014,222,15-Jul-2026 09:07:52,4836,8470,SELL
PAYTM,1385,1385,4411,15-Jul-2026 09:07:42,15114,38356,SELL
NYKAA,325.25,325.25,1559,15-Jul-2026 09:07:40,9337,40478,SELL
TATASTEEL,188.74,188.74,53845,15-Jul-2026 09:07:38,370161,660767,SELL
ADANIPORTS,1826,1826,9557,15-Jul-2026 09:07:39,21564,41483,SELL
DRREDDY,1249.1,1249.1,3060,15-Jul-2026 09:07:39,17855,39829,SELL
GRASIM,3120,3120,244,15-Jul-2026 09:07:40,3331,9387,SELL
HINDPETRO,386.85,386.85,10904,15-Jul-2026 09:07:39,164311,131523,BUY
MAZDOCK,2365.1,2365.1,1674,15-Jul-2026 09:07:42,14470,31714,SELL
PNBHOUSING,1097.9,1097.9,731,15-Jul-2026 09:07:42,12567,14396,SELL
VOLTAS,1361.9,1361.9,1484,15-Jul-2026 09:07:40,3051,27888,SELL
BPCL,306,306,20274,15-Jul-2026 09:07:39,259565,167976,BUY
MARICO,850,850,1941,15-Jul-2026 09:07:40,5489,14283,SELL
OBEROIRLTY,1920.5,1920.5,226,15-Jul-2026 09:07:40,1322,7059,SELL
ONGC,249.42,249.42,29745,15-Jul-2026 09:07:39,131786,463850,SELL
TRENT,2875,2875,615,15-Jul-2026 09:07:39,16720,29709,SELL
VBL,471.25,471.25,3775,15-Jul-2026 09:07:39,136941,142092,SELL
BHARATFORG,2124,2124,1666,15-Jul-2026 09:07:52,4234,7256,SELL
HDFCBANK,811,811,274659,15-Jul-2026 09:07:39,318716,455241,SELL
INDIANB,835.15,835.15,1892,15-Jul-2026 09:07:40,19488,54198,SELL
KFINTECH,888,888,4646,15-Jul-2026 09:07:39,6588,24476,SELL
ADANIENT,3195,3195,2808,15-Jul-2026 09:07:52,12356,32533,SELL
BSE,3800,3800,3668,15-Jul-2026 09:07:39,32161,87489,SELL
IDFCFIRSTB,79.42,79.42,27425,15-Jul-2026 09:07:39,124453,563137,SELL
KOTAKBANK,379.35,379.35,18397,15-Jul-2026 09:07:38,112700,144919,SELL
PAGEIND,40600,40600,30,15-Jul-2026 09:07:42,162,573,SELL
WAAREEENER,2825,2825,909,15-Jul-2026 09:07:39,12389,23547,SELL
BIOCON,438,438,113687,15-Jul-2026 09:07:39,115054,424418,SELL
ASIANPAINT,2644.9,2644.9,838,15-Jul-2026 09:07:39,7011,27339,SELL
JSWSTEEL,1249.6,1249.6,983,15-Jul-2026 09:07:41,5918,30824,SELL
SBILIFE,1842.5,1842.5,583,15-Jul-2026 09:07:39,4665,9129,SELL
GMRAIRPORT,113.5,113.5,11508,15-Jul-2026 09:07:39,67978,308435,SELL
INDUSINDBK,998.4,998.4,1134,15-Jul-2026 09:07:39,9371,26887,SELL
VEDL,268,268,54549,15-Jul-2026 09:07:39,178375,410154,SELL
CDSL,1429.9,1429.9,3529,15-Jul-2026 09:07:39,25957,76629,SELL
HAVELLS,1188.5,1188.5,556,15-Jul-2026 09:07:40,13602,27565,SELL
IRFC,88.8,88.8,20959,15-Jul-2026 09:07:39,355877,654568,SELL
MARUTI,13503,13503,259,15-Jul-2026 09:07:42,3524,5630,SELL
SWIGGY,259.05,259.05,14579,15-Jul-2026 09:07:40,90456,180019,SELL
VMM,114.39,114.39,16058,15-Jul-2026 09:07:52,157682,532805,SELL
DMART,3919.6,3919.6,865,15-Jul-2026 09:07:52,5855,8151,SELL
RELIANCE,1294.1,1295,55826,15-Jul-2026 09:07:38,218986,419852,SELL
EICHERMOT,7285,7285,3268,15-Jul-2026 09:07:39,5016,14450,SELL
NAM-INDIA,1193.7,1193.7,367,15-Jul-2026 09:07:42,5897,12964,SELL
NUVAMA,1935.3,1935.3,411,15-Jul-2026 09:07:42,1904,24090,SELL
SUPREMEIND,3430,3430,253,15-Jul-2026 09:07:40,2479,5860,SELL
ULTRACEMCO,11504,11504,198,15-Jul-2026 09:07:40,1439,4261,SELL
AUROPHARMA,1553.7,1553.7,1222,15-Jul-2026 09:07:39,2179,10574,SELL
GODREJPROP,2108.6,2108.6,850,15-Jul-2026 09:07:40,4985,9120,SELL
INDUSTOWER,405.5,405.5,4154,15-Jul-2026 09:07:39,26641,83445,SELL
PHOENIXLTD,2133.7,2133.7,235,15-Jul-2026 09:07:42,1581,5345,SELL
AMBUJACEM,430,430,1586,15-Jul-2026 09:07:39,35974,89027,SELL
HAL,4444.4,4444.4,966,15-Jul-2026 09:07:38,12905,19485,SELL
HINDUNILVR,2121,2121,1280,15-Jul-2026 09:07:39,21080,20297,BUY
OFSS,11650,11650,585,15-Jul-2026 09:07:42,1698,5573,SELL
TORNTPHARM,4975,4975,937,15-Jul-2026 09:07:39,909,1597,SELL
BOSCHLTD,41470,41470,20,15-Jul-2026 09:07:39,140,477,SELL
SHREECEM,26285,26285,8,15-Jul-2026 09:07:40,105,179,SELL
DLF,671.5,671.5,5366,15-Jul-2026 09:07:40,21019,66213,SELL
RBLBANK,378,378,10392,15-Jul-2026 09:07:39,44805,173851,SELL
SBIN,1015.5,1012.7,51046,15-Jul-2026 09:07:38,137322,249796,SELL
ADANIGREEN,1604.5,1604.5,9979,15-Jul-2026 09:07:39,15772,104465,SELL
BAJFINANCE,1006.6,1006.6,14899,15-Jul-2026 09:07:38,50860,63136,SELL
CROMPTON,261,261,3704,15-Jul-2026 09:07:38,22417,45728,SELL
GODFRYPHLP,2070.5,2070.5,270,15-Jul-2026 09:07:39,6168,10820,SELL
GODREJCP,1061.6,1061.6,394,15-Jul-2026 09:07:39,10453,20760,SELL
MANKIND,2531.1,2531.1,232,15-Jul-2026 09:07:42,2008,12574,SELL
MAXHEALTH,1092.9,1092.9,1351,15-Jul-2026 09:07:42,17203,25017,SELL
NMDC,84.99,84.99,19666,15-Jul-2026 09:07:41,228719,980757,SELL
PETRONET,276.05,276.05,1116,15-Jul-2026 09:07:40,29284,33173,SELL
