SYMBOL,PREOPEN,FINAL_PRICE,FINAL_QUANTITY,LAST_UPDATE,TOTAL_BUY_QTY,TOTAL_SELL_QTY,ADV_DECL
CROMPTON,256,256,41962,21-Aug-2026 09:07:40,105174,184604,SELL
MANAPPURAM,354.5,354.5,133061,21-Aug-2026 09:07:40,154371,155370,SELL
HINDZINC,582,582,60044,21-Aug-2026 09:07:40,172223,166701,BUY
MUTHOOTFIN,3009.6,3009.6,11676,21-Aug-2026 09:07:40,14942,10375,BUY
LODHA,1254,1254,9217,21-Aug-2026 09:07:40,5921,33225,SELL
SHRIRAMFIN,1140,1140,42361,21-Aug-2026 09:07:39,31801,82956,SELL
BLUESTARCO,1525.2,1525.2,1955,21-Aug-2026 09:07:52,5844,16595,SELL
BEL,413.45,413.45,134875,21-Aug-2026 09:07:40,149577,739553,SELL
JUBLFOOD,512.15,512.15,5732,21-Aug-2026 09:07:50,9043,32828,SELL
PREMIERENE,1050,1050,6960,21-Aug-2026 09:07:40,37599,34525,BUY
BAJFINANCE,1105.4,1105.4,52279,21-Aug-2026 09:07:39,50506,78770,SELL
GMRAIRPORT,101.3,101.3,50327,21-Aug-2026 09:07:40,339537,219071,BUY
VEDL,270.3,270.3,51316,21-Aug-2026 09:07:39,177097,385683,SELL
CONCOR,523,523,1359,21-Aug-2026 09:07:53,18775,59611,SELL
PIIND,2500,2500,612,21-Aug-2026 09:07:51,4906,5676,SELL
EICHERMOT,8095,8095,3813,21-Aug-2026 09:07:40,1686,8510,SELL
PATANJALI,352.3,352.3,13201,21-Aug-2026 09:07:50,230717,88294,BUY
ADANIGREEN,1310.2,1310.2,8362,21-Aug-2026 09:07:39,39943,48011,SELL
TIINDIA,2949,2949,317,21-Aug-2026 09:07:52,3554,6753,SELL
LICI,421.7,421.7,32939,21-Aug-2026 09:07:39,137865,311958,SELL
ETERNAL,330,330,248463,21-Aug-2026 09:07:40,189681,433298,SELL
SUNPHARMA,1916,1916,5749,21-Aug-2026 09:07:39,6201,25599,SELL
SWIGGY,280.75,280.75,19915,21-Aug-2026 09:07:40,148665,912844,SELL
BHEL,416.05,416.05,12348,21-Aug-2026 09:07:40,76181,162227,SELL
NATIONALUM,388,388,15623,21-Aug-2026 09:07:50,45828,186630,SELL
MCX,3145.1,3145.1,19255,21-Aug-2026 09:07:40,22241,157299,SELL
NBCC,88.79,88.79,33903,21-Aug-2026 09:07:40,182902,311012,SELL
INDIANB,876,876,739,21-Aug-2026 09:07:51,11530,64373,SELL
GVT&D,4062.8,4062.8,1497,21-Aug-2026 09:07:40,9560,10599,SELL
