SYMBOL,PREOPEN,FINAL_PRICE,FINAL_QUANTITY,LAST_UPDATE,TOTAL_BUY_QTY,TOTAL_SELL_QTY,ADV_DECL
INDHOTEL,748.05,748.05,46858,21-Sep-2026 09:09:32,54223,56461,SELL
GMRAIRPORT,101.2,101.2,702043,21-Sep-2026 09:09:32,1090083,513795,BUY
JINDALSTEL,1138,1138,2702,21-Sep-2026 09:09:32,10013,6400,BUY
PIDILITIND,1598,1598,1157,21-Sep-2026 09:09:42,4718,5731,SELL
NATIONALUM,355.3,355.3,33096,21-Sep-2026 09:09:31,99635,74116,BUY
PHOENIXLTD,1902.9,1902.9,377,21-Sep-2026 09:09:42,2467,4524,SELL
SOLARINDS,18790,18790,445,21-Sep-2026 09:09:43,3707,4310,SELL
VOLTAS,1125,1125,1494,21-Sep-2026 09:09:31,16633,6038,BUY
CGPOWER,903,903,12525,21-Sep-2026 09:09:31,51077,68305,SELL
SWIGGY,276.4,276.4,63735,21-Sep-2026 09:09:32,159729,180031,SELL
TATAELXSI,3306.9,3306.9,1770,21-Sep-2026 09:09:31,14329,6279,BUY
NMDC,80.09,80.09,138365,21-Sep-2026 09:09:31,597552,559827,BUY
NAUKRI,1265,1265,1076,21-Sep-2026 09:09:44,6176,6448,SELL
HAL,4850,4850,5382,21-Sep-2026 09:09:32,15839,29503,SELL
DIXON,13128,13128,1174,21-Sep-2026 09:09:32,5706,4507,BUY
YESBANK,22.95,22.95,600680,21-Sep-2026 09:09:42,2208044,3019221,SELL
BOSCHLTD,47460,47460,63,21-Sep-2026 09:09:41,642,819,SELL
CAMS,715,715,3398,21-Sep-2026 09:09:42,35672,70658,SELL
KAYNES,3549,3549,2942,21-Sep-2026 09:09:32,14175,26513,SELL
UNITDSPR,1384,1384,2477,21-Sep-2026 09:09:43,6652,3429,BUY
KALYANKJIL,587,587,21326,21-Sep-2026 09:09:42,61932,94837,SELL
PREMIERENE,910,910,14533,21-Sep-2026 09:09:42,16287,34662,SELL
SHRIRAMFIN,1019,1019,49435,21-Sep-2026 09:09:32,12633,79871,SELL
BIOCON,388.3,388.3,6639,21-Sep-2026 09:09:42,34016,47584,SELL
NBCC,83.1,83.1,43684,21-Sep-2026 09:09:42,208446,438231,SELL
GODREJPROP,1704,1704,1012,21-Sep-2026 09:09:32,7485,14046,SELL
KPITTECH,536,536,17698,21-Sep-2026 09:09:32,76544,48285,BUY
SBILIFE,1744,1744,502,21-Sep-2026 09:09:42,2981,10030,SELL
SRF,2530.9,2530.9,470,21-Sep-2026 09:09:31,3458,8608,SELL
SAGILITY,46,46,52086,21-Sep-2026 09:09:32,356472,1031244,SELL
IDEA,14.02,14.02,1733904,21-Sep-2026 09:09:32,14542984,12275287,BUY
ICICIBANK,1347.8,1347.8,131292,21-Sep-2026 09:09:44,39252,156958,SELL
KOTAKBANK,415.2,415.2,20028,21-Sep-2026 09:09:43,63326,62735,BUY
LAURUSLABS,1966.6,1966.6,3122,21-Sep-2026 09:09:42,7590,21461,SELL
