SYMBOL,PREOPEN,FINAL_PRICE,FINAL_QUANTITY,LAST_UPDATE,TOTAL_BUY_QTY,TOTAL_SELL_QTY,ADV_DECL
COALINDIA,408.2,408.2,144539,02-Sep-2026 09:07:56,338179,154173,BUY
ONGC,237.6,237.6,172776,02-Sep-2026 09:07:56,289766,486172,SELL
MAXHEALTH,1003,1003,6488,02-Sep-2026 09:07:57,12804,34466,SELL
NTPC,324,324,36736,02-Sep-2026 09:07:57,54225,290484,SELL
ADANIENT,2859.8,2859.8,7343,02-Sep-2026 09:07:56,14156,37893,SELL
POWERGRID,264,264,127222,02-Sep-2026 09:07:57,156070,309300,SELL
ITC,266,266,97718,02-Sep-2026 09:07:57,268644,844322,SELL
AXISBANK,1254.6,1254.6,30283,02-Sep-2026 09:07:57,21071,62705,SELL
LT,3966,3966,4713,02-Sep-2026 09:07:57,13885,34689,SELL
TRENT,2845,2845,1627,02-Sep-2026 09:07:56,5594,22174,SELL
GRASIM,3292,3292,314,02-Sep-2026 09:08:02,51280,57031,SELL
JSWSTEEL,1308.1,1308.1,1647,02-Sep-2026 09:08:00,8639,37554,SELL
HDFCLIFE,538,538,1638,02-Sep-2026 09:07:56,16435,33613,SELL
BHARTIARTL,1869,1869,104907,02-Sep-2026 09:07:57,42711,90894,SELL
ULTRACEMCO,11350,11350,337,02-Sep-2026 09:07:58,1269,3357,SELL
TECHM,1630,1630,7387,02-Sep-2026 09:07:58,3080,29238,SELL
TATACONSUM,1025.5,1025.5,962,02-Sep-2026 09:08:10,7415,26186,SELL
DRREDDY,1165,1165,3404,02-Sep-2026 09:07:59,8566,33073,SELL
SBILIFE,1730,1730,1112,02-Sep-2026 09:07:58,4209,5540,SELL
HINDUNILVR,1983,1983,2305,02-Sep-2026 09:07:59,13921,36004,SELL
ADANIPORTS,1637.1,1637.1,8647,02-Sep-2026 09:07:57,19942,47962,SELL
CIPLA,1414,1414,968,02-Sep-2026 09:07:58,8906,26356,SELL
ETERNAL,325.5,325.5,50578,02-Sep-2026 09:07:57,109083,497972,SELL
KOTAKBANK,421.9,421.9,18132,02-Sep-2026 09:07:56,37427,112340,SELL
TMPV,307.7,307.7,51056,02-Sep-2026 09:07:57,104861,211075,SELL
JIOFIN,234,234,133811,02-Sep-2026 09:07:57,425940,574280,SELL
SBIN,1026,1026,78062,02-Sep-2026 09:07:57,57266,212839,SELL
HCLTECH,1340.1,1340.1,15787,02-Sep-2026 09:07:57,33830,74009,SELL
RELIANCE,1298,1298,108992,02-Sep-2026 09:07:57,169612,367784,SELL
TATASTEEL,182.5,182.5,111435,02-Sep-2026 09:07:57,345714,1189951,SELL
APOLLOHOSP,8680,8755,2657,02-Sep-2026 09:07:56,4556,5026,SELL
TCS,2347.9,2347.9,22135,02-Sep-2026 09:07:57,18222,80911,SELL
BEL,407.5,407.5,30587,02-Sep-2026 09:07:57,118605,738577,SELL
ICICIBANK,1425.1,1425.1,44118,02-Sep-2026 09:07:57,43861,96909,SELL
NESTLEIND,1425,1425,9666,02-Sep-2026 09:07:57,3516,37224,SELL
BAJFINANCE,1044.2,1044.2,55300,02-Sep-2026 09:07:57,23653,84306,SELL
WIPRO,180,180,60988,02-Sep-2026 09:07:56,169701,481270,SELL
SUNPHARMA,1910,1910,4466,02-Sep-2026 09:07:57,6624,37573,SELL
HINDALCO,1004,1004,7300,02-Sep-2026 09:07:57,12691,78743,SELL
BAJAJFINSV,1951.5,1951.5,1000,02-Sep-2026 09:07:58,4000,14952,SELL
SHRIRAMFIN,1048,1048,58931,02-Sep-2026 09:07:57,19219,144784,SELL
ASIANPAINT,2548,2548,2520,02-Sep-2026 09:07:58,3589,22610,SELL
M&M,3223.5,3223.5,10108,02-Sep-2026 09:07:57,10775,47184,SELL
BAJAJ-AUTO,12211,12211,1101,02-Sep-2026 09:07:58,1453,4054,SELL
HDFCBANK,702.3,702.3,2456485,02-Sep-2026 09:07:57,722147,677877,BUY
EICHERMOT,7860,7860,2861,02-Sep-2026 09:07:56,2640,8239,SELL
MARUTI,12763,12763,4276,02-Sep-2026 09:07:57,3270,12489,SELL
TITAN,4972,4972,4427,02-Sep-2026 09:07:57,2487,10056,SELL
INFY,1137.7,1137.7,55004,02-Sep-2026 09:07:57,51689,220928,SELL
INDIGO,4957,4957,7409,02-Sep-2026 09:07:57,2966,15201,SELL
