SYMBOL,PREOPEN,FINAL_PRICE,FINAL_QUANTITY,LAST_UPDATE,TOTAL_BUY_QTY,TOTAL_SELL_QTY,ADV_DECL
TCS,2105.2,2105.2,88091,10-Jul-2026 09:07:58,220712,162613,BUY
INFY,1075,1075,57926,10-Jul-2026 09:07:58,163887,172354,SELL
HCLTECH,1173,1173,16670,10-Jul-2026 09:07:57,40316,214984,SELL
HINDALCO,976,976,22957,10-Jul-2026 09:07:58,40082,89967,SELL
SHRIRAMFIN,1049,1049,17838,10-Jul-2026 09:07:57,21253,50365,SELL
TECHM,1448,1448,3287,10-Jul-2026 09:07:58,27049,23326,BUY
WIPRO,175.23,175.23,113377,10-Jul-2026 09:07:58,322114,876287,SELL
TRENT,2934,2934,1304,10-Jul-2026 09:07:58,22332,51412,SELL
RELIANCE,1291.9,1291.9,126280,10-Jul-2026 09:07:58,221273,418158,SELL
TATASTEEL,189.68,189.68,46051,10-Jul-2026 09:07:58,291659,572437,SELL
TMPV,334.55,334.55,17643,10-Jul-2026 09:07:57,163613,244170,SELL
ASIANPAINT,2695,2695,2191,10-Jul-2026 09:07:58,5472,14782,SELL
HDFCBANK,824,824,354237,10-Jul-2026 09:07:58,380505,563232,SELL
ETERNAL,294.7,294.7,172264,10-Jul-2026 09:07:58,329965,645823,SELL
M&M,3109,3109,10428,10-Jul-2026 09:07:57,36355,49522,SELL
NESTLEIND,1467,1467,4776,10-Jul-2026 09:08:02,2464,16766,SELL
SBIN,1029.5,1029.5,20621,10-Jul-2026 09:07:57,76343,168255,SELL
JIOFIN,235,235,38538,10-Jul-2026 09:07:58,358531,954948,SELL
ADANIENT,3105,3105,2571,10-Jul-2026 09:07:57,11056,28199,SELL
ICICIBANK,1389.7,1389.7,28491,10-Jul-2026 09:07:58,43114,94161,SELL
BAJFINANCE,1010.1,1010.1,12402,10-Jul-2026 09:07:58,43144,76304,SELL
POWERGRID,283.1,283.1,33242,10-Jul-2026 09:07:58,112659,163176,SELL
INDIGO,5260,5260,1095,10-Jul-2026 09:07:57,4135,9946,SELL
HDFCLIFE,555,555,2587,10-Jul-2026 09:07:58,33421,63525,SELL
AXISBANK,1304,1304,7953,10-Jul-2026 09:07:57,27902,28124,SELL
BAJAJFINSV,1905.3,1905.3,2198,10-Jul-2026 09:07:58,10724,20780,SELL
BEL,408.4,408.4,22311,10-Jul-2026 09:07:58,268410,574434,SELL
JSWSTEEL,1232.3,1232.3,1349,10-Jul-2026 09:08:00,7089,18318,SELL
MARUTI,13800,13800,482,10-Jul-2026 09:08:01,4323,4386,SELL
ULTRACEMCO,11584,11584,396,10-Jul-2026 09:08:00,1222,5133,SELL
EICHERMOT,7399.5,7399.5,580,10-Jul-2026 09:07:59,3651,13194,SELL
TITAN,4578.6,4550,1760,10-Jul-2026 09:07:57,5405,10195,SELL
LT,3905,3905,3323,10-Jul-2026 09:07:58,26144,45009,SELL
SBILIFE,1830.7,1830.7,583,10-Jul-2026 09:07:58,5080,13621,SELL
GRASIM,3204.8,3204.8,643,10-Jul-2026 09:07:59,1558,7574,SELL
HINDUNILVR,2151.5,2151.5,1298,10-Jul-2026 09:07:58,15826,22596,SELL
ITC,282.85,282.85,27640,10-Jul-2026 09:07:57,273131,615541,SELL
NTPC,344.5,344.5,12500,10-Jul-2026 09:07:58,104470,134158,SELL
BAJAJ-AUTO,10177.5,10177.5,486,10-Jul-2026 09:07:57,4673,3151,BUY
SUNPHARMA,1942.8,1942.8,5096,10-Jul-2026 09:07:58,10003,29514,SELL
MAXHEALTH,1102.3,1102.3,3667,10-Jul-2026 09:07:58,4266,22119,SELL
KOTAKBANK,377.45,377.45,121638,10-Jul-2026 09:07:57,477207,287609,BUY
COALINDIA,430.15,430.15,4938,10-Jul-2026 09:08:11,88084,103110,SELL
APOLLOHOSP,8849,8849,988,10-Jul-2026 09:07:58,2620,1854,BUY
ADANIPORTS,1800.1,1800.1,13277,10-Jul-2026 09:08:11,13280,32958,SELL
ONGC,243.65,243.65,25909,10-Jul-2026 09:08:01,103746,338337,SELL
CIPLA,1441.3,1441.3,1846,10-Jul-2026 09:07:58,4638,18725,SELL
BHARTIARTL,1930,1930,48949,10-Jul-2026 09:07:57,33529,152221,SELL
TATACONSUM,1105,1105,1289,10-Jul-2026 09:07:58,10454,19031,SELL
DRREDDY,1244.9,1244.9,54864,10-Jul-2026 09:07:58,29795,98734,SELL
