SYMBOL,PREOPEN,FINAL_PRICE,FINAL_QUANTITY,LAST_UPDATE,TOTAL_BUY_QTY,TOTAL_SELL_QTY,ADV_DECL
NESTLEIND,1478,1478,3548,18-Aug-2026 09:07:28,7281,14966,SELL
SUNPHARMA,1890,1890,5079,18-Aug-2026 09:07:25,10284,26740,SELL
ONGC,239.5,239.5,51672,18-Aug-2026 09:07:26,273646,473971,SELL
BAJAJ-AUTO,11700,11700,986,18-Aug-2026 09:07:25,1279,2456,SELL
TATACONSUM,1075.5,1075.5,1466,18-Aug-2026 09:07:28,13587,20361,SELL
ADANIENT,3014,3014,2746,18-Aug-2026 09:07:39,10080,30846,SELL
GRASIM,3257,3257,962,18-Aug-2026 09:07:39,21874,8279,BUY
TATASTEEL,186.34,186.34,70911,18-Aug-2026 09:07:26,358178,854234,SELL
COALINDIA,408.95,408.95,8994,18-Aug-2026 09:07:26,124809,199011,SELL
TMPV,330.5,330.5,21700,18-Aug-2026 09:07:25,222248,253121,SELL
BEL,412.7,412.7,38533,18-Aug-2026 09:07:26,128585,792647,SELL
ADANIPORTS,1691.6,1691.6,7756,18-Aug-2026 09:07:39,13526,42585,SELL
POWERGRID,266.2,266.2,16426,18-Aug-2026 09:07:26,140027,255982,SELL
MARUTI,13762,13762,436,18-Aug-2026 09:07:27,3726,6730,SELL
APOLLOHOSP,8825.5,8825.5,646,18-Aug-2026 09:07:25,2642,3530,SELL
NTPC,337,337,15573,18-Aug-2026 09:07:26,110970,180854,SELL
ITC,273.05,273.05,67920,18-Aug-2026 09:07:26,367221,518471,SELL
M&M,3390.4,3390.4,7540,18-Aug-2026 09:07:26,12241,24794,SELL
CIPLA,1431.5,1431.5,791,18-Aug-2026 09:07:39,8291,17242,SELL
WIPRO,181.9,181.9,114596,18-Aug-2026 09:07:25,187913,377312,SELL
TRENT,2946.1,2946.1,543,18-Aug-2026 09:07:27,9477,13543,SELL
HINDUNILVR,2055,2055,3413,18-Aug-2026 09:07:39,23172,40862,SELL
ETERNAL,318,318,51160,18-Aug-2026 09:07:26,127687,426065,SELL
BAJFINANCE,1088.6,1088.6,15321,18-Aug-2026 09:07:26,21583,67921,SELL
SBILIFE,1789,1789,1341,18-Aug-2026 09:07:28,4464,9549,SELL
HINDALCO,1048.95,1048.95,9442,18-Aug-2026 09:07:26,30577,58301,SELL
EICHERMOT,8040,8040,1614,18-Aug-2026 09:07:26,1121,13124,SELL
RELIANCE,1314,1314,41083,18-Aug-2026 09:07:25,289579,358747,SELL
SBIN,1059.6,1059.6,15956,18-Aug-2026 09:07:26,74022,147011,SELL
TITAN,5060,5060,1013,18-Aug-2026 09:07:30,2576,8151,SELL
HDFCLIFE,541.95,541.95,4268,18-Aug-2026 09:07:39,26035,99981,SELL
JSWSTEEL,1275,1275,1556,18-Aug-2026 09:07:39,15855,29926,SELL
AXISBANK,1223.9,1223.9,12647,18-Aug-2026 09:07:39,29083,90059,SELL
MAXHEALTH,1000.7,1000.7,6056,18-Aug-2026 09:07:27,24407,25267,SELL
TECHM,1605,1605,3286,18-Aug-2026 09:07:29,5856,19400,SELL
BAJAJFINSV,1998.4,1998.4,1402,18-Aug-2026 09:07:26,4505,14116,SELL
JIOFIN,248.9,248.9,33931,18-Aug-2026 09:07:25,298674,887437,SELL
HDFCBANK,726.3,726.3,195824,18-Aug-2026 09:07:25,272113,551253,SELL
ICICIBANK,1410,1410,35211,18-Aug-2026 09:07:26,44444,97275,SELL
KOTAKBANK,391,391,41234,18-Aug-2026 09:07:25,41757,177499,SELL
LT,4068,4086.7,5531,18-Aug-2026 09:07:25,22564,77136,SELL
ULTRACEMCO,11626,11626,201,18-Aug-2026 09:07:28,1520,4744,SELL
HCLTECH,1318,1318,10455,18-Aug-2026 09:07:26,10460,75708,SELL
TCS,2300,2300,19085,18-Aug-2026 09:07:26,23340,60895,SELL
DRREDDY,1185,1185,1400,18-Aug-2026 09:07:25,9466,50442,SELL
BHARTIARTL,1956.7,1956.7,100803,18-Aug-2026 09:07:26,30321,50848,SELL
SHRIRAMFIN,1114,1114,8614,18-Aug-2026 09:07:26,23923,120165,SELL
ASIANPAINT,2663.1,2663.1,6195,18-Aug-2026 09:07:26,23824,15134,BUY
INDIGO,5220,5220,1901,18-Aug-2026 09:07:25,2006,19944,SELL
INFY,1124.5,1124.5,64033,18-Aug-2026 09:07:26,54103,228447,SELL
