SYMBOL,PREOPEN,FINAL_PRICE,FINAL_QUANTITY,LAST_UPDATE,TOTAL_BUY_QTY,TOTAL_SELL_QTY,ADV_DECL
INDIGO,5111,5111,9347,27-Jul-2026 09:07:59,15264,11359,BUY
TATACONSUM,1115.1,1115.1,12480,27-Jul-2026 09:08:00,43059,33319,BUY
INFY,1065,1065,148521,27-Jul-2026 09:08:00,279331,149885,BUY
NTPC,353,353,127538,27-Jul-2026 09:08:00,153787,228750,SELL
ITC,287.75,287.75,158710,27-Jul-2026 09:08:00,599938,570468,BUY
SHRIRAMFIN,1020,1020,32469,27-Jul-2026 09:07:59,76004,116864,SELL
TCS,2286,2286,15566,27-Jul-2026 09:08:00,29614,133578,SELL
BAJFINANCE,1026.7,1026.7,65267,27-Jul-2026 09:07:59,67150,58678,BUY
WIPRO,177.5,177.5,160208,27-Jul-2026 09:08:00,521316,668721,SELL
HCLTECH,1284.6,1284.6,14923,27-Jul-2026 09:08:00,19172,275975,SELL
TECHM,1576,1576,2458,27-Jul-2026 09:08:00,6282,25136,SELL
ASIANPAINT,2665.8,2665.8,1770,27-Jul-2026 09:08:09,12520,16506,SELL
MARUTI,13579,13579,807,27-Jul-2026 09:08:00,5352,8792,SELL
TRENT,2918.9,2918.9,873,27-Jul-2026 09:08:10,19584,26759,SELL
JIOFIN,237,237,73069,27-Jul-2026 09:08:00,593002,714101,SELL
TMPV,326.75,326.75,22657,27-Jul-2026 09:08:00,154980,228106,SELL
LT,3820,3820,6596,27-Jul-2026 09:08:00,27290,39891,SELL
ADANIPORTS,1784,1784,6187,27-Jul-2026 09:08:09,15502,28406,SELL
JSWSTEEL,1251,1251,865,27-Jul-2026 09:08:09,7095,33716,SELL
RELIANCE,1288.2,1288.2,53287,27-Jul-2026 09:07:59,238589,412562,SELL
AXISBANK,1237,1237,9745,27-Jul-2026 09:08:09,33923,118086,SELL
BEL,408,408,38446,27-Jul-2026 09:07:59,248208,450558,SELL
M&M,3183,3183,7004,27-Jul-2026 09:07:59,20746,35582,SELL
EICHERMOT,7680,7680,777,27-Jul-2026 09:08:11,4280,15085,SELL
BAJAJ-AUTO,11200.5,11200.5,684,27-Jul-2026 09:08:00,2498,3795,SELL
ADANIENT,3045.1,3045.1,1329,27-Jul-2026 09:08:09,17416,23368,SELL
MAXHEALTH,1086.9,1086.9,1526,27-Jul-2026 09:08:12,13600,23138,SELL
ETERNAL,281.5,281.5,75212,27-Jul-2026 09:07:59,336041,604924,SELL
NESTLEIND,1451,1451,1527,27-Jul-2026 09:08:00,5672,22198,SELL
SBIN,1020.3,1020.3,28916,27-Jul-2026 09:08:00,109173,137198,SELL
TATASTEEL,183.6,183.6,44247,27-Jul-2026 09:07:59,333967,646423,SELL
ULTRACEMCO,11905,11905,419,27-Jul-2026 09:08:11,4103,4428,SELL
COALINDIA,429.5,429.5,7414,27-Jul-2026 09:08:09,142156,175026,SELL
HINDUNILVR,2155,2155,3633,27-Jul-2026 09:08:09,21760,25721,SELL
BAJAJFINSV,1885,1885,537,27-Jul-2026 09:08:10,3407,13050,SELL
HDFCBANK,746.1,746.1,498187,27-Jul-2026 09:08:00,673289,556999,BUY
SUNPHARMA,1948.5,1948.5,2353,27-Jul-2026 09:08:00,5437,20123,SELL
GRASIM,3100,3100,506,27-Jul-2026 09:08:12,2602,6156,SELL
KOTAKBANK,386,386,26874,27-Jul-2026 09:07:59,68348,144765,SELL
DRREDDY,1154.7,1154.7,4929,27-Jul-2026 09:08:09,27512,22878,BUY
TITAN,4686.9,4686.9,1792,27-Jul-2026 09:07:59,3017,9011,SELL
ICICIBANK,1435.7,1435.7,298277,27-Jul-2026 09:08:00,122203,61890,BUY
HINDALCO,944.45,944.45,4936,27-Jul-2026 09:08:10,22877,89858,SELL
HDFCLIFE,555.95,555.95,4257,27-Jul-2026 09:08:09,24939,64824,SELL
CIPLA,1412.6,1412.6,1491,27-Jul-2026 09:08:09,15030,19462,SELL
APOLLOHOSP,8816,8816,414,27-Jul-2026 09:08:09,1655,1740,SELL
SBILIFE,1860,1860,1405,27-Jul-2026 09:08:11,3253,16124,SELL
POWERGRID,288.3,288.3,14619,27-Jul-2026 09:08:00,93863,137200,SELL
ONGC,248,248,71552,27-Jul-2026 09:07:59,103035,363885,SELL
BHARTIARTL,1892,1892,56250,27-Jul-2026 09:08:00,22532,42241,SELL
