SYMBOL,PREOPEN,FINAL_PRICE,FINAL_QUANTITY,LAST_UPDATE,TOTAL_BUY_QTY,TOTAL_SELL_QTY,ADV_DECL
INFY,1123.6,1123.6,28674,28-Aug-2026 09:07:09,115460,171766,SELL
WIPRO,178.25,178.25,75593,28-Aug-2026 09:07:09,267219,365488,SELL
TCS,2272,2272,18504,28-Aug-2026 09:07:09,27734,53871,SELL
TECHM,1600,1600,4287,28-Aug-2026 09:07:22,3498,23819,SELL
BAJAJ-AUTO,11810,11810,1025,28-Aug-2026 09:07:09,2480,3291,SELL
HCLTECH,1290,1290,16909,28-Aug-2026 09:07:09,29455,71686,SELL
SUNPHARMA,1925,1925,2682,28-Aug-2026 09:07:22,7610,20189,SELL
HINDALCO,1030,1030,11368,28-Aug-2026 09:07:10,41333,56199,SELL
ONGC,233.35,233.35,16852,28-Aug-2026 09:07:09,183238,393566,SELL
APOLLOHOSP,8848,8848,359,28-Aug-2026 09:07:11,2563,3169,SELL
ASIANPAINT,2645,2645,1163,28-Aug-2026 09:07:10,5002,12941,SELL
HDFCLIFE,550.8,550.8,5103,28-Aug-2026 09:07:09,25143,67148,SELL
EICHERMOT,8140,8140,1332,28-Aug-2026 09:07:10,2404,5236,SELL
TATACONSUM,1047,1047,1656,28-Aug-2026 09:07:11,8518,27562,SELL
TMPV,317.5,317.5,23629,28-Aug-2026 09:07:08,140455,211625,SELL
HINDUNILVR,2018,2018,2403,28-Aug-2026 09:07:09,28039,37878,SELL
MARUTI,13500,13500,822,28-Aug-2026 09:07:22,3107,11284,SELL
LT,4045,4045,3579,28-Aug-2026 09:07:08,18474,38074,SELL
TATASTEEL,187.6,187.6,58145,28-Aug-2026 09:07:09,358962,765097,SELL
POWERGRID,266.05,266.05,14758,28-Aug-2026 09:07:09,119844,319590,SELL
SBILIFE,1780.4,1780.4,1463,28-Aug-2026 09:07:09,4842,5129,SELL
TRENT,2890.4,2890.4,479,28-Aug-2026 09:07:08,7303,36275,SELL
SHRIRAMFIN,1105,1105,5454,28-Aug-2026 09:07:10,21000,159082,SELL
TITAN,5155,5155,1279,28-Aug-2026 09:07:08,6033,13737,SELL
SBIN,1046,1046,19897,28-Aug-2026 09:07:09,54536,200957,SELL
NESTLEIND,1454.4,1454.4,2856,28-Aug-2026 09:07:09,4271,21346,SELL
COALINDIA,401,401,8804,28-Aug-2026 09:07:10,106521,192997,SELL
RELIANCE,1284.9,1284.9,84647,28-Aug-2026 09:07:09,177602,291627,SELL
JIOFIN,238.6,238.6,35374,28-Aug-2026 09:07:09,382243,481911,SELL
INDIGO,5199,5199,398,28-Aug-2026 09:07:12,2958,6809,SELL
ETERNAL,329.1,329.1,111519,28-Aug-2026 09:07:09,79912,525683,SELL
KOTAKBANK,424.6,424.6,40044,28-Aug-2026 09:07:08,37692,93557,SELL
GRASIM,3261,3261,408,28-Aug-2026 09:07:11,2262,10039,SELL
ADANIENT,3170,3170,4494,28-Aug-2026 09:07:10,8522,29116,SELL
M&M,3331,3331,12316,28-Aug-2026 09:07:09,16368,29107,SELL
MAXHEALTH,1009.1,1009.1,1078,28-Aug-2026 09:07:10,15534,18310,SELL
CIPLA,1420,1420,2242,28-Aug-2026 09:07:12,7984,25162,SELL
AXISBANK,1256,1256,36644,28-Aug-2026 09:07:09,320094,81016,BUY
BAJAJFINSV,2011,2011,1181,28-Aug-2026 09:07:12,3049,15526,SELL
ITC,269,269,48840,28-Aug-2026 09:07:08,182874,695231,SELL
HDFCBANK,710.85,710.85,529564,28-Aug-2026 09:07:09,354756,661733,SELL
BEL,410.85,410.85,29330,28-Aug-2026 09:07:09,112081,829611,SELL
ULTRACEMCO,11705,11705,263,28-Aug-2026 09:07:09,1058,4172,SELL
ADANIPORTS,1712,1712,2797,28-Aug-2026 09:07:10,11267,50147,SELL
BHARTIARTL,1875.7,1875.7,51741,28-Aug-2026 09:07:09,136809,51159,BUY
JSWSTEEL,1335.2,1335.2,8297,28-Aug-2026 09:07:09,5801,25516,SELL
DRREDDY,1175,1175,3742,28-Aug-2026 09:07:11,9894,31400,SELL
NTPC,329.5,329.5,24131,28-Aug-2026 09:07:09,70422,216157,SELL
ICICIBANK,1435,1435,125915,28-Aug-2026 09:07:09,26934,183938,SELL
BAJFINANCE,1065.7,1065.7,262446,28-Aug-2026 09:07:09,29709,84463,SELL
