SYMBOL,PREOPEN,FINAL_PRICE,FINAL_QUANTITY,LAST_UPDATE,TOTAL_BUY_QTY,TOTAL_SELL_QTY,ADV_DECL
MARUTI,13744,13744,6550,30-Jun-2026 09:07:56,9425,6395,BUY
SAMMAANCAP,170,170,131244,30-Jun-2026 09:07:57,479339,402586,BUY
BAJFINANCE,986.9,986.9,15388,30-Jun-2026 09:07:56,23451,78944,SELL
ASHOKLEY,159.06,159.06,89799,30-Jun-2026 09:07:57,262058,513672,SELL
BSE,3900,3900,23169,30-Jun-2026 09:07:56,39819,136114,SELL
ICICIBANK,1402,1402,106829,30-Jun-2026 09:07:56,49447,109509,SELL
CROMPTON,276.25,276.25,1944,30-Jun-2026 09:08:07,40445,57712,SELL
OBEROIRLTY,1771.8,1771.8,887,30-Jun-2026 09:08:06,2986,16763,SELL
ASTRAL,1381.6,1381.6,2284,30-Jun-2026 09:07:57,26870,22745,BUY
UPL,574,574,7840,30-Jun-2026 09:07:56,73327,17605,BUY
TVSMOTOR,3490.1,3490.1,2074,30-Jun-2026 09:07:57,9027,9353,SELL
PAGEIND,40780,40780,15,30-Jun-2026 09:08:06,670,559,BUY
HINDPETRO,393.15,393.15,20660,30-Jun-2026 09:07:57,106961,98006,BUY
HDFCBANK,806.1,806.1,769108,30-Jun-2026 09:07:56,449978,867405,SELL
TMPV,348,348,49317,30-Jun-2026 09:07:57,183511,372419,SELL
PHOENIXLTD,1928.1,1928.1,692,30-Jun-2026 09:08:09,1908,6395,SELL
CANBK,126.9,126.9,78556,30-Jun-2026 09:07:56,499834,564768,SELL
GODREJPROP,1845,1845,693,30-Jun-2026 09:08:10,4286,10195,SELL
SUPREMEIND,3219.9,3219.9,826,30-Jun-2026 09:08:06,5110,3929,BUY
BAJAJHLDNG,10545,10545,187,30-Jun-2026 09:08:08,540,1998,SELL
BOSCHLTD,40200,40200,59,30-Jun-2026 09:08:07,553,627,SELL
DALBHARAT,1714,1714,60,30-Jun-2026 09:07:57,3023,5611,SELL
LODHA,947,947,841,30-Jun-2026 09:08:07,16942,23814,SELL
KAYNES,3175,3175,2395,30-Jun-2026 09:07:57,24676,16383,BUY
GODFRYPHLP,2210,2210,501,30-Jun-2026 09:07:56,5224,19487,SELL
KFINTECH,875.9,875.9,949,30-Jun-2026 09:08:06,6953,17863,SELL
PERSISTENT,4331,4331,8700,30-Jun-2026 09:07:57,31715,66513,SELL
SIEMENS,3600.4,3600.4,248,30-Jun-2026 09:08:06,3163,7841,SELL
DIXON,11894,11894,521,30-Jun-2026 09:08:10,3806,7110,SELL
CUMMINSIND,5582.5,5582.5,238,30-Jun-2026 09:08:07,2703,3528,SELL
HDFCAMC,2625.8,2625.8,412,30-Jun-2026 09:07:56,4052,9337,SELL
NYKAA,304.3,304.3,9779,30-Jun-2026 09:08:06,17819,37696,SELL
CGPOWER,963.1,963.1,9908,30-Jun-2026 09:07:57,69319,87412,SELL
NAUKRI,993.5,993.5,728,30-Jun-2026 09:08:06,7495,21376,SELL
ABCAPITAL,387.9,387.9,5465,30-Jun-2026 09:08:07,19606,56821,SELL
FORCEMOT,17945,17945,244,30-Jun-2026 09:08:09,1743,2102,SELL
BHARTIARTL,1853,1853,185875,30-Jun-2026 09:07:56,76308,61775,BUY
FORTIS,956.6,956.6,1310,30-Jun-2026 09:08:10,7941,12957,SELL
INDIANB,820,820,1942,30-Jun-2026 09:08:09,27310,28068,SELL
YESBANK,25.25,25.25,526959,30-Jun-2026 09:07:56,3383546,8235348,SELL
ADANIPORTS,1786.9,1786.9,6718,30-Jun-2026 09:07:57,14607,37208,SELL
ADANIENT,2980,2980,2184,30-Jun-2026 09:08:06,14178,19733,SELL
LTF,300.8,300.8,9711,30-Jun-2026 09:08:06,39904,219894,SELL
RBLBANK,365.95,365.95,4982,30-Jun-2026 09:08:08,35068,64035,SELL
LICHSGFIN,564,564,1888,30-Jun-2026 09:08:06,29915,44806,SELL
PRESTIGE,1548.1,1548.1,1528,30-Jun-2026 09:08:07,4053,9346,SELL
JUBLFOOD,420,420,4179,30-Jun-2026 09:07:57,31418,39514,SELL
PREMIERENE,1035,1035,1116,30-Jun-2026 09:08:07,20750,37040,SELL
SHREECEM,25280,25280,21,30-Jun-2026 09:08:08,227,110,BUY
SUNPHARMA,1885,1885,8008,30-Jun-2026 09:07:56,5906,24175,SELL
GMRAIRPORT,110,110,25573,30-Jun-2026 09:08:10,108079,499452,SELL
NBCC,104.9,104.9,20392,30-Jun-2026 09:08:06,141348,377952,SELL
SBICARD,605.1,605.1,2171,30-Jun-2026 09:08:06,21208,23351,SELL
SWIGGY,240,240,16368,30-Jun-2026 09:08:06,122253,167390,SELL
ADANIENSOL,1494,1494,3228,30-Jun-2026 09:07:57,11373,74194,SELL
TRENT,3275,3275,1883,30-Jun-2026 09:07:57,29263,24649,BUY
UNITDSPR,1348.3,1348.3,1061,30-Jun-2026 09:08:07,12024,25122,SELL
LICI,433.4,433.4,13115,30-Jun-2026 09:07:57,106442,282694,SELL
MAZDOCK,2459,2459,2419,30-Jun-2026 09:08:07,11492,42988,SELL
NUVAMA,1780,1780,2910,30-Jun-2026 09:08:07,3382,10535,SELL
CHOLAFIN,1782.7,1782.7,451,30-Jun-2026 09:08:07,4720,3357,BUY
HAVELLS,1161.8,1161.8,325,30-Jun-2026 09:08:09,10327,11672,SELL
POLICYBZR,1630.9,1630.9,429,30-Jun-2026 09:08:06,4537,7893,SELL
WAAREEENER,2900,2900,6731,30-Jun-2026 09:07:57,22532,31418,SELL
BEL,413.5,413.5,56941,30-Jun-2026 09:07:57,267420,621691,SELL
GVT&D,4979.5,4979.5,2507,30-Jun-2026 09:07:57,7713,13086,SELL
LTM,3702.9,3702.9,659,30-Jun-2026 09:08:07,5592,8812,SELL
