ï»¿"SYMBOL 
","PREV. CLOSE 
","IEP 
","CHNG 
","%CHNG 
","FINAL 
","FINAL QUANTITY 
","VALUE 
 (â¹ Crores)","FFM CAP 
 (â¹ Crores)","NM 52W H 
","NM 52W L 
"
"MARUTI","13,412.00","13,744.00","332.00","2.48","13,744.00","6,550","9.00","1,78,796.18","17,370.00","12,201.00"
"BAJFINANCE","982.05","986.90","10.85","1.11","986.90","15,388","1.52","2,63,771.47","1,102.50","787.90"
"ICICIBANK","1,387.60","1,402.00","14.40","1.04","1,402.00","1,06,829","14.98","10,01,555.03","1,500.00","1,187.60"
"HDFCBANK","798.90","806.10","7.20","0.90","806.10","7,69,108","62.00","12,30,987.98","1,020.50","726.65"
"TMPV","345.05","348.00","2.95","0.85","348.00","49,317","1.72","72,526.27","739.70","294.30"
"BHARTIARTL","1,841.10","1,853.00","11.90","0.65","1,853.00","1,85,875","34.44","5,61,895.76","2,174.50","1,740.50"
"ADANIPORTS","1,776.10","1,786.90","10.80","0.61","1,786.90","6,718","1.20","1,31,457.74","1,857.80","1,290.50"
"ADANIENT","2,962.50","2,980.00","17.50","0.59","2,980.00","2,184","0.65","85,752.92","3,105.00","1,753.00"
"SUNPHARMA","1,874.80","1,885.00","10.20","0.54","1,885.00","8,008","1.51","1,99,040.19","1,916.60","1,548.00"
"TRENT","3,258.30","3,275.00","16.70","0.51","3,275.00","1,883","0.62","1,08,668.71","4,174.00","2,183.67"
"BEL","411.60","413.50","1.90","0.46","413.50","56,941","2.35","1,47,689.06","473.45","361.20"
"RELIANCE","1,301.00","1,306.90","5.90","0.45","1,306.90","54,908","7.18","8,80,424.73","1,611.80","1,253.20"
"LT","4,165.20","4,183.00","17.80","0.43","4,183.00","10,030","4.20","4,88,224.91","4,440.00","3,288.10"
"M&M","3,093.00","3,105.00","12.00","0.39","3,105.00","12,053","3.74","2,76,432.59","3,839.90","2,896.00"
"SBIN","1,036.10","1,040.00","3.90","0.38","1,040.00","15,160","1.58","4,28,676.16","1,234.70","786.55"
"BAJAJ-AUTO","9,630.00","9,665.00","35.00","0.36","9,665.00","1,055","1.02","1,06,743.44","10,834.00","7,858.50"
"POWERGRID","286.25","287.20","0.95","0.33","287.20","22,914","0.66","1,29,696.35","324.95","250.00"
